series_id,game_num,blue_team,red_team,team,opp_team,side,player,champion,draft_champion,role,pick_order,pick_turn_global,pick_phase,win,result
2882812,1,ZENA,CG,CG,ZENA,Red,Piskhello,Ezreal,Ezreal,BOT,7,17.0,2.0,True,Win
2882812,1,ZENA,CG,ZENA,CG,Blue,RaptoSauros,Varus,Lee Sin,BOT,8,18.0,2.0,False,Loss
2882812,1,ZENA,CG,ZENA,CG,Blue,OrthoZero,Nautilus,Nautilus,SUP,9,19.0,2.0,False,Loss
2882812,1,ZENA,CG,CG,ZENA,Red,CENTU,Leona,Thresh,SUP,10,20.0,2.0,True,Win
2882816,1,CG,AXL,CG,AXL,Blue,TheMountain,Ornn,Ornn,TOP,1,7.0,1.0,True,Win
2882816,1,CG,AXL,AXL,CG,Red,Cripple,Fiora,Neeko,TOP,2,8.0,1.0,False,Loss
2882816,1,CG,AXL,AXL,CG,Red,Elix1r,Pantheon,Fiora,JGL,3,9.0,1.0,False,Loss
2882816,1,CG,AXL,CG,AXL,Blue,Fragola,DrMundo,Karma,JGL,4,10.0,1.0,True,Win
2882816,1,CG,AXL,CG,AXL,Blue,Bisgaard,Syndra,Ezreal,MID,5,11.0,1.0,True,Win
2882816,1,CG,AXL,AXL,CG,Red,Shack,Viktor,Caitlyn,MID,6,12.0,1.0,False,Loss
2882816,1,CG,AXL,AXL,CG,Red,Padawii,Caitlyn,Pantheon,BOT,7,17.0,2.0,False,Loss
2882816,1,CG,AXL,CG,AXL,Blue,Piskhello,Ezreal,Dr. Mundo,BOT,8,18.0,2.0,True,Win
2882816,1,CG,AXL,CG,AXL,Blue,CENTU,Karma,Syndra,SUP,9,19.0,2.0,True,Win
2882816,1,CG,AXL,AXL,CG,Red,Tigrot,Neeko,Viktor,SUP,10,20.0,2.0,False,Loss
2882822,1,DEA,CG,DEA,CG,Blue,Fratellin,Sion,Sion,TOP,1,7.0,1.0,True,Win
2882822,1,DEA,CG,CG,DEA,Red,TheMountain,KSante,K'Sante,TOP,2,8.0,1.0,False,Loss
2882822,1,DEA,CG,CG,DEA,Red,Fragola,Jayce,Jayce,JGL,3,9.0,1.0,False,Loss
2882822,1,DEA,CG,DEA,CG,Blue,Hamudis,DrMundo,Corki,JGL,4,10.0,1.0,True,Win
2882822,1,DEA,CG,DEA,CG,Blue,Sharon,Syndra,Dr. Mundo,MID,5,11.0,1.0,True,Win
2882822,1,DEA,CG,CG,DEA,Red,Bisgaard,Anivia,Aphelios,MID,6,12.0,1.0,False,Loss
2882822,1,DEA,CG,CG,DEA,Red,Piskhello,Aphelios,Thresh,BOT,7,17.0,2.0,False,Loss
2882822,1,DEA,CG,DEA,CG,Blue,Kyte,Corki,Braum,BOT,8,18.0,2.0,True,Win
2882822,1,DEA,CG,DEA,CG,Blue,Sheeesh,Braum,Syndra,SUP,9,19.0,2.0,True,Win
2882822,1,DEA,CG,CG,DEA,Red,CENTU,Thresh,Blitzcrank,SUP,10,20.0,2.0,False,Loss
2882822,2,CG,DEA,CG,DEA,Blue,TheMountain,Rumble,Rumble,TOP,1,7.0,1.0,True,Win
2882822,2,CG,DEA,DEA,CG,Red,Fratellin,Renekton,Renekton,TOP,2,8.0,1.0,False,Loss
2882822,2,CG,DEA,DEA,CG,Red,Hamudis,Nocturne,Nocturne,JGL,3,9.0,1.0,False,Loss
2882822,2,CG,DEA,CG,DEA,Blue,Fragola,JarvanIV,Jarvan IV,JGL,4,10.0,1.0,True,Win
2882822,2,CG,DEA,CG,DEA,Blue,Bisgaard,Orianna,Orianna,MID,5,11.0,1.0,True,Win
2882822,2,CG,DEA,DEA,CG,Red,Sharon,Ekko,Ekko,MID,6,12.0,1.0,False,Loss
2882822,2,CG,DEA,DEA,CG,Red,Kyte,Yunara,Yunara,BOT,7,17.0,2.0,False,Loss
2882822,2,CG,DEA,CG,DEA,Blue,Piskhello,Lucian,Lucian,BOT,8,18.0,2.0,True,Win
2882822,2,CG,DEA,CG,DEA,Blue,CENTU,Alistar,Alistar,SUP,9,19.0,2.0,True,Win
2882822,2,CG,DEA,DEA,CG,Red,Sheeesh,Janna,Nautilus,SUP,10,20.0,2.0,False,Loss
2882822,3,DEA,CG,DEA,CG,Blue,Fratellin,RekSai,Ryze,TOP,1,7.0,1.0,False,Loss
2882822,3,DEA,CG,CG,DEA,Red,TheMountain,Yorick,Varus,TOP,2,8.0,1.0,True,Win
2882822,3,DEA,CG,CG,DEA,Red,Fragola,Pantheon,Taliyah,JGL,3,9.0,1.0,True,Win
2882822,3,DEA,CG,DEA,CG,Blue,Hamudis,Malphite,Sivir,JGL,4,10.0,1.0,False,Loss
2882822,3,DEA,CG,DEA,CG,Blue,Sharon,Ryze,Nautilus,MID,5,11.0,1.0,False,Loss
2882822,3,DEA,CG,CG,DEA,Red,Bisgaard,Taliyah,Leona,MID,6,12.0,1.0,True,Win
2882822,3,DEA,CG,CG,DEA,Red,Piskhello,Varus,Pantheon,BOT,7,17.0,2.0,True,Win
2882822,3,DEA,CG,DEA,CG,Blue,Kyte,Sivir,Malphite,BOT,8,18.0,2.0,False,Loss
2882822,3,DEA,CG,DEA,CG,Blue,Sheeesh,Nautilus,Rek'Sai,SUP,9,19.0,2.0,False,Loss
2882822,3,DEA,CG,CG,DEA,Red,CENTU,Leona,Yorick,SUP,10,20.0,2.0,True,Win
2882822,4,CG,DEA,CG,DEA,Blue,TheMountain,Gnar,Vi,TOP,1,7.0,1.0,True,Win
2882822,4,CG,DEA,DEA,CG,Red,Fratellin,Gwen,Gwen,TOP,2,8.0,1.0,False,Loss
2882822,4,CG,DEA,DEA,CG,Red,Hamudis,XinZhao,Tristana,JGL,3,9.0,1.0,False,Loss
